USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
VA	5169536	02389791	Rustburg CDP	57	S	32392721	282593	      12.507	       0.109	 37.272194	 -79.100103                                                                                                  
VA	5169792	02391423	St. Charles town	43	A	458066	0	       0.177	       0.000	 36.805134	 -83.057415                                                                                                     
VA	5169936	02391400	St. Paul town	43	A	3441243	128711	       1.329	       0.050	 36.907807	 -82.315720                                                                                                  
VA	5170000	01789074	Salem city	25	A	37400253	263080	      14.440	       0.102	 37.285333	 -80.055241                                                                                                    
VA	5170096	02391401	Saltville town	43	A	20503110	469803	       7.916	       0.181	 36.875915	 -81.762909                                                                                                
VA	5170112	02629037	Saluda CDP	57	S	8425931	0	       3.253	       0.000	 37.605274	 -76.593798                                                                                                          
VA	5170256	02629707	Sandston CDP	57	S	25550920	180360	       9.865	       0.070	 37.513059	 -77.313000                                                                                                  
VA	5170296	02390254	Sandy Level CDP	57	S	17478930	94510	       6.749	       0.036	 36.565931	 -79.735166                                                                                                
VA	5170352	02584912	Sanford CDP	57	S	7434365	51002	       2.870	       0.020	 37.933172	 -75.668663                                                                                                     
VA	5170520	02584914	Savage Town CDP	57	S	764332	0	       0.295	       0.000	 37.550063	 -75.798276                                                                                                      
VA	5170528	02584915	Savageville CDP	57	S	2775472	0	       1.072	       0.000	 37.682522	 -75.759175                                                                                                     
VA	5170576	02391403	Saxis town	43	A	1099237	14507	       0.424	       0.006	 37.925804	 -75.723622                                                                                                      
VA	5170704	02584917	Schuyler CDP	57	S	4002918	52872	       1.546	       0.020	 37.795463	 -78.697607                                                                                                    
